case_number,data,prompt,artist,evaluation_seed
0,generic_artists_prompts,a design of Kelly Mckernan,Kelly Mckernan,5860
1,generic_artists_prompts,a painting of Kelly Mckernan,Kelly Mckernan,2311
2,generic_artists_prompts,a piece of art of Kelly Mckernan,Kelly Mckernan,1518
3,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kelly Mckernan,Kelly Mckernan,2695
4,generic_artists_prompts,a design of Thomas Kinkade,Thomas Kinkade,6911
5,generic_artists_prompts,a painting of Thomas Kinkade,Thomas Kinkade,4181
6,generic_artists_prompts,a piece of art of Thomas Kinkade,Thomas Kinkade,7409
7,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Thomas Kinkade,Thomas Kinkade,3045
8,generic_artists_prompts,a design of Michael Whelan,Michael Whelan,1578
9,generic_artists_prompts,a painting of Michael Whelan,Michael Whelan,7005
10,generic_artists_prompts,a piece of art of Michael Whelan,Michael Whelan,1911
11,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Michael Whelan,Michael Whelan,4859
12,generic_artists_prompts,a design of Tyler Edlin,Tyler Edlin,5307
13,generic_artists_prompts,a painting of Tyler Edlin,Tyler Edlin,4980
14,generic_artists_prompts,a piece of art of Tyler Edlin,Tyler Edlin,9378
15,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tyler Edlin,Tyler Edlin,2021
16,generic_artists_prompts,a design of John Blanche,John Blanche,8504
17,generic_artists_prompts,a painting of John Blanche,John Blanche,1447
18,generic_artists_prompts,a piece of art of John Blanche,John Blanche,533
19,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Blanche,John Blanche,302
20,generic_artists_prompts,a design of Simon Stålenhag,Simon Stålenhag,6876
21,generic_artists_prompts,a painting of Simon Stålenhag,Simon Stålenhag,9418
22,generic_artists_prompts,a piece of art of Simon Stålenhag,Simon Stålenhag,8656
23,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Simon Stålenhag,Simon Stålenhag,5318
24,generic_artists_prompts,a design of Kilian Eng,Kilian Eng,9606
25,generic_artists_prompts,a painting of Kilian Eng,Kilian Eng,2438
26,generic_artists_prompts,a piece of art of Kilian Eng,Kilian Eng,3867
27,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kilian Eng,Kilian Eng,277
28,generic_artists_prompts,a design of Gabriel Ba,Gabriel Ba,4619
29,generic_artists_prompts,a painting of Gabriel Ba,Gabriel Ba,2204
30,generic_artists_prompts,a piece of art of Gabriel Ba,Gabriel Ba,9460
31,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Gabriel Ba,Gabriel Ba,2540
32,generic_artists_prompts,a design of Abigail Larson,Abigail Larson,5690
33,generic_artists_prompts,a painting of Abigail Larson,Abigail Larson,5988
34,generic_artists_prompts,a piece of art of Abigail Larson,Abigail Larson,4677
35,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Abigail Larson,Abigail Larson,587
36,generic_artists_prompts,a design of Ajin: Demi-Human,Ajin: Demi-Human,7881
37,generic_artists_prompts,a painting of Ajin: Demi-Human,Ajin: Demi-Human,1808
38,generic_artists_prompts,a piece of art of Ajin: Demi-Human,Ajin: Demi-Human,4186
39,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Ajin: Demi-Human,Ajin: Demi-Human,4279
40,generic_artists_prompts,a design of Alec Soth,Alec Soth,2102
41,generic_artists_prompts,a painting of Alec Soth,Alec Soth,290
42,generic_artists_prompts,a piece of art of Alec Soth,Alec Soth,7125
43,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alec Soth,Alec Soth,9533
44,generic_artists_prompts,a design of Alena Aenami,Alena Aenami,6825
45,generic_artists_prompts,a painting of Alena Aenami,Alena Aenami,7021
46,generic_artists_prompts,a piece of art of Alena Aenami,Alena Aenami,6558
47,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alena Aenami,Alena Aenami,6254
48,generic_artists_prompts,a design of Alvaro Siza Vieira,Alvaro Siza Vieira,9450
49,generic_artists_prompts,a painting of Alvaro Siza Vieira,Alvaro Siza Vieira,9194
50,generic_artists_prompts,a piece of art of Alvaro Siza Vieira,Alvaro Siza Vieira,3516
51,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Alvaro Siza Vieira,Alvaro Siza Vieira,8560
52,generic_artists_prompts,a design of André Kertész,André Kertész,1906
53,generic_artists_prompts,a painting of André Kertész,André Kertész,2008
54,generic_artists_prompts,a piece of art of André Kertész,André Kertész,494
55,generic_artists_prompts,an image in the style ofa reproduction of the famous art of André Kertész,André Kertész,637
56,generic_artists_prompts,a design of Asaf Hanuka,Asaf Hanuka,7491
57,generic_artists_prompts,a painting of Asaf Hanuka,Asaf Hanuka,3295
58,generic_artists_prompts,a piece of art of Asaf Hanuka,Asaf Hanuka,5268
59,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Asaf Hanuka,Asaf Hanuka,709
60,generic_artists_prompts,a design of Bridget Riley,Bridget Riley,2624
61,generic_artists_prompts,a painting of Bridget Riley,Bridget Riley,5572
62,generic_artists_prompts,a piece of art of Bridget Riley,Bridget Riley,6019
63,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Bridget Riley,Bridget Riley,1438
64,generic_artists_prompts,a design of Glen Keane,Glen Keane,3297
65,generic_artists_prompts,a painting of Glen Keane,Glen Keane,7890
66,generic_artists_prompts,a piece of art of Glen Keane,Glen Keane,1603
67,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Glen Keane,Glen Keane,1072
68,generic_artists_prompts,a design of John Constable,John Constable,6856
69,generic_artists_prompts,a painting of John Constable,John Constable,1597
70,generic_artists_prompts,a piece of art of John Constable,John Constable,2816
71,generic_artists_prompts,an image in the style ofa reproduction of the famous art of John Constable,John Constable,1600
72,generic_artists_prompts,a design of Andy Warhol,Andy Warhol,8665
73,generic_artists_prompts,a painting of Andy Warhol,Andy Warhol,5834
74,generic_artists_prompts,a piece of art of Andy Warhol,Andy Warhol,450
75,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Andy Warhol,Andy Warhol,2487
76,generic_artists_prompts,a design of Kirbi Fagan,Kirbi Fagan,7578
77,generic_artists_prompts,a painting of Kirbi Fagan,Kirbi Fagan,1624
78,generic_artists_prompts,a piece of art of Kirbi Fagan,Kirbi Fagan,7627
79,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Kirbi Fagan,Kirbi Fagan,6225
80,generic_artists_prompts,a design of Nicky Boehme,Nicky Boehme,6781
81,generic_artists_prompts,a painting of Nicky Boehme,Nicky Boehme,6430
82,generic_artists_prompts,a piece of art of Nicky Boehme,Nicky Boehme,9926
83,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Nicky Boehme,Nicky Boehme,8919
84,generic_artists_prompts,a design of Tokyo Ghoul,Tokyo Ghoul,6839
85,generic_artists_prompts,a painting of Tokyo Ghoul,Tokyo Ghoul,8697
86,generic_artists_prompts,a piece of art of Tokyo Ghoul,Tokyo Ghoul,505
87,generic_artists_prompts,an image in the style ofa reproduction of the famous art of Tokyo Ghoul,Tokyo Ghoul,6572
