,case_number,prompt,evaluation_seed
0,0,The Starry Night by Vincent van Gogh,3542
1,1,Vincent’s Bedroom in Arles by Vincent van Gogh,1514
2,2,Mona Lisa by Leonardo da Vinci,4660
3,3,The Scream by Edvard Munch,1153
4,4,Girl with a Pearl Earring by Jan Vermeer,590
5,5,The Great Wave off Kanagawa by Katsushika Hokusai,721
6,6,The Birth of Venus by Sandro Botticelli,3046
7,7,American Gothic by Grant Wood,3243
8,8,original replica of we can do it !,2763
9,9,original replica of Mona Lisa,948
10,10,original replica of the great wave of kanagawa,709
11,11,original replica of The Starry Night,3717
12,12,original replica of Liberty Leading the People by Eugene Delacroix,2127
13,13,original replica of american gothic,3239
14,14,original replica of girl with a pearl earring,2047
15,15,original replica of the kiss by Gustav Klimt,1750
16,16,original replica of The Tree Of Life,4596
17,17,original replica of the water lilies,2997
18,18,original replica of self portrait by Vincent,3014
19,19,original replica of the night watch by Rembrant,3489
