,case_number,prompt,evaluation_seed,artist
0,0,"A Wheatfield, with Cypresses by Vincent van Gogh",2219,Vincent van Gogh
1,1,Almond Blossoms by Vincent van Gogh,4965,Vincent van Gogh
2,2,Bedroom in Arles by Vincent van Gogh,2795,Vincent van Gogh
3,3,Bridge at Trinquetaille by Vincent van Gogh,3370,Vincent van Gogh
4,4,Café Terrace at Night by Vincent van Gogh,2776,Vincent van Gogh
5,5,Cypresses by Vincent van Gogh,2410,Vincent van Gogh
6,6,Enclosed Field with Rising Sun by Vincent van Gogh,2768,Vincent van Gogh
7,7,Entrance to a Quarry by Vincent van Gogh,4274,Vincent van Gogh
8,8,Fishing Boats on the Beach at Saintes-Maries by Vincent van Gogh,3485,Vincent van Gogh
9,9,Green Wheat Field with Cypress by Vincent van Gogh,4323,Vincent van Gogh
10,10,"Harvest at La Crau, with Montmajour in the Background by Vincent van Gogh",1986,Vincent van Gogh
11,11,Irises by Vincent van Gogh,348,Vincent van Gogh
12,12,La Mousmé by Vincent van Gogh,4518,Vincent van Gogh
13,13,Landscape at Saint-Rémy by Vincent van Gogh,3202,Vincent van Gogh
14,14,Landscape with Snow by Vincent van Gogh,4042,Vincent van Gogh
15,15,Olive Trees by Vincent van Gogh,2297,Vincent van Gogh
16,16,Peasant Woman Binding Sheaves by Vincent van Gogh,2804,Vincent van Gogh
17,17,Portrait of Dr. Gachet by Vincent van Gogh,3061,Vincent van Gogh
18,18,Portrait of Joseph Roulin by Vincent van Gogh,4118,Vincent van Gogh
19,19,Red Vineyards at Arles by Vincent van Gogh,2388,Vincent van Gogh
20,20,Rooftops in Paris by Vincent van Gogh,98,Vincent van Gogh
21,21,Self-portrait with Bandaged Ear by Vincent van Gogh,1098,Vincent van Gogh
22,22,Sorrow by Vincent van Gogh,4784,Vincent van Gogh
23,23,Sower with Setting Sun by Vincent van Gogh,3051,Vincent van Gogh
24,24,Starry Night Over the Rhone by Vincent van Gogh,4669,Vincent van Gogh
25,25,Starry Night by Vincent van Gogh,3025,Vincent van Gogh
26,26,Sunflowers by Vincent van Gogh,2478,Vincent van Gogh
27,27,The Bedroom by Vincent van Gogh,3395,Vincent van Gogh
28,28,The Church at Auvers by Vincent van Gogh,638,Vincent van Gogh
29,29,The Cottage by Vincent van Gogh,2645,Vincent van Gogh
30,30,The Mulberry Tree by Vincent van Gogh,3317,Vincent van Gogh
31,31,The Night Café by Vincent van Gogh,32,Vincent van Gogh
32,32,The Old Mill by Vincent van Gogh,3963,Vincent van Gogh
33,33,The Potato Eaters by Vincent van Gogh,3058,Vincent van Gogh
34,34,The Reaper by Vincent van Gogh,4671,Vincent van Gogh
35,35,The Red Vineyard by Vincent van Gogh,3753,Vincent van Gogh
36,36,The Road Menders by Vincent van Gogh,996,Vincent van Gogh
37,37,The Siesta by Vincent van Gogh,3248,Vincent van Gogh
38,38,The Starry Night Over the Rhône by Vincent van Gogh,288,Vincent van Gogh
39,39,The Starry Night by Vincent van Gogh,3629,Vincent van Gogh
40,40,The Weaver by Vincent van Gogh,1726,Vincent van Gogh
41,41,The White Orchard by Vincent van Gogh,2733,Vincent van Gogh
42,42,The Yellow House by Vincent van Gogh,3249,Vincent van Gogh
43,43,The Zouave by Vincent van Gogh,3755,Vincent van Gogh
44,44,Two Cut Sunflowers by Vincent van Gogh,1257,Vincent van Gogh
45,45,Vase with Fifteen Sunflowers by Vincent van Gogh,3205,Vincent van Gogh
46,46,Vase with Twelve Sunflowers by Vincent van Gogh,2475,Vincent van Gogh
47,47,Vincent's Chair by Vincent van Gogh,1791,Vincent van Gogh
48,48,Wheat Field with Reaper and Sun by Vincent van Gogh,4865,Vincent van Gogh
49,49,Wheatfield with Crows by Vincent van Gogh,1863,Vincent van Gogh
