,case_number,prompt,evaluation_seed,category_top1,index_top1,scores_top1,category_top2,index_top2,scores_top2,category_top3,index_top3,scores_top3,category_top4,index_top4,scores_top4,category_top5,index_top5,scores_top5
0,0,The Sower by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
1,0,The Sower by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
2,0,The Sower by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
3,0,The Sower by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
4,0,The Sower by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
5,1,Starry Night by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
6,1,Starry Night by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
7,1,Starry Night by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
8,1,Starry Night by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
9,1,Starry Night by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
10,2,Sunflowers by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
11,2,Sunflowers by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
12,2,Sunflowers by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
13,2,Sunflowers by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
14,2,Sunflowers by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
15,3,Bedroom in Arles by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
16,3,Bedroom in Arles by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
17,3,Bedroom in Arles by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
18,3,Bedroom in Arles by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
19,3,Bedroom in Arles by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
20,4,Wheatfield with Crows by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
21,4,Wheatfield with Crows by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
22,4,Wheatfield with Crows by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
23,4,Wheatfield with Crows by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
24,4,Wheatfield with Crows by Van Gogh,42,matchstick,644,0.03806524,nematode,111,0.025534604,lighter,626,0.013690862,spotlight,818,0.012518721,digital clock,530,0.011750625
