image,clip_score,style_delta,model
0_0.png,0.2585,0.0562,sdv14
0_1.png,0.2507,0.0664,sdv14
0_2.png,0.2515,0.0492,sdv14
0_3.png,0.2781,0.0582,sdv14
0_4.png,0.2515,0.0496,sdv14
1_0.png,0.158,-0.0223,sdv14
1_1.png,0.158,-0.0223,sdv14
1_2.png,0.2776,0.0615,sdv14
1_3.png,0.2878,0.0592,sdv14
1_4.png,0.2842,0.0604,sdv14
2_0.png,0.2593,0.0463,sdv14
2_1.png,0.2585,0.0552,sdv14
2_2.png,0.2644,0.0428,sdv14
2_3.png,0.2581,0.0433,sdv14
2_4.png,0.2544,0.0396,sdv14
3_0.png,0.2598,0.048,sdv14
3_1.png,0.2483,0.0388,sdv14
3_2.png,0.2449,0.0453,sdv14
3_3.png,0.252,0.0441,sdv14
3_4.png,0.2668,0.0479,sdv14
4_0.png,0.2656,0.0513,sdv14
4_1.png,0.2634,0.0525,sdv14
4_2.png,0.26,0.0515,sdv14
4_3.png,0.2676,0.051,sdv14
4_4.png,0.2651,0.0507,sdv14
0_0.png,0.1975,-0.0037,diffusers-VanGogh-ESDx1-UNET
0_1.png,0.1343,-0.0129,diffusers-VanGogh-ESDx1-UNET
0_2.png,0.1168,-0.011,diffusers-VanGogh-ESDx1-UNET
0_3.png,0.0931,-0.0189,diffusers-VanGogh-ESDx1-UNET
0_4.png,0.2013,0.0199,diffusers-VanGogh-ESDx1-UNET
1_0.png,0.1553,-0.0035,diffusers-VanGogh-ESDx1-UNET
1_1.png,0.2051,0.0397,diffusers-VanGogh-ESDx1-UNET
1_2.png,0.1553,0.0112,diffusers-VanGogh-ESDx1-UNET
1_3.png,0.197,0.0001,diffusers-VanGogh-ESDx1-UNET
1_4.png,0.2413,0.0411,diffusers-VanGogh-ESDx1-UNET
2_0.png,0.1663,0.0157,diffusers-VanGogh-ESDx1-UNET
2_1.png,0.2185,0.0122,diffusers-VanGogh-ESDx1-UNET
2_2.png,0.1593,0.0208,diffusers-VanGogh-ESDx1-UNET
2_3.png,0.162,0.0029,diffusers-VanGogh-ESDx1-UNET
2_4.png,0.2224,0.0306,diffusers-VanGogh-ESDx1-UNET
3_0.png,0.1295,-0.0056,diffusers-VanGogh-ESDx1-UNET
3_1.png,0.1611,-0.0032,diffusers-VanGogh-ESDx1-UNET
3_2.png,0.1542,0.004,diffusers-VanGogh-ESDx1-UNET
3_3.png,0.1505,0.0076,diffusers-VanGogh-ESDx1-UNET
3_4.png,0.1448,0.0061,diffusers-VanGogh-ESDx1-UNET
4_0.png,0.2195,0.0054,diffusers-VanGogh-ESDx1-UNET
4_1.png,0.2018,0.009,diffusers-VanGogh-ESDx1-UNET
4_2.png,0.2123,0.0236,diffusers-VanGogh-ESDx1-UNET
4_3.png,0.23,0.0281,diffusers-VanGogh-ESDx1-UNET
4_4.png,0.2006,0.014,diffusers-VanGogh-ESDx1-UNET
0_0.png,0.1979,0.0012,space-Van_Gogh-esdx
0_1.png,0.1621,-0.012,space-Van_Gogh-esdx
0_2.png,0.1766,-0.0413,space-Van_Gogh-esdx
0_3.png,0.1993,0.0087,space-Van_Gogh-esdx
0_4.png,0.1664,-0.0118,space-Van_Gogh-esdx
1_0.png,0.2178,0.0222,space-Van_Gogh-esdx
1_1.png,0.2073,0.0101,space-Van_Gogh-esdx
1_2.png,0.2388,0.0408,space-Van_Gogh-esdx
1_3.png,0.214,0.0137,space-Van_Gogh-esdx
1_4.png,0.2294,0.0311,space-Van_Gogh-esdx
2_0.png,0.2439,0.03,space-Van_Gogh-esdx
2_1.png,0.2125,0.0099,space-Van_Gogh-esdx
2_2.png,0.2605,0.0416,space-Van_Gogh-esdx
2_3.png,0.2173,0.0131,space-Van_Gogh-esdx
2_4.png,0.2542,0.0541,space-Van_Gogh-esdx
3_0.png,0.1899,-0.0433,space-Van_Gogh-esdx
3_1.png,0.1826,-0.0205,space-Van_Gogh-esdx
3_2.png,0.2251,-0.0139,space-Van_Gogh-esdx
3_3.png,0.1688,-0.0021,space-Van_Gogh-esdx
3_4.png,0.1819,-0.0309,space-Van_Gogh-esdx
4_0.png,0.2206,-0.0034,space-Van_Gogh-esdx
4_1.png,0.2065,0.0117,space-Van_Gogh-esdx
4_2.png,0.2075,-0.0022,space-Van_Gogh-esdx
4_3.png,0.1865,-0.005,space-Van_Gogh-esdx
4_4.png,0.2103,-0.0061,space-Van_Gogh-esdx
